#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 14:46:13 -05:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 10 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        15068000     00060          MAHONEY C NR KETCHIKAN AK
# USGS        15070000     00060          SWAN LK NR KETCHIKAN AK
# USGS        15081497     00060          STANEY C NR KLAWOCK AK
# USGS        15088000     00060          SAWMILL C NR SITKA AK
# USGS        15098000     00060          BARANOF R AT BARANOF AK
# USGS        15129500     00060          SITUK R NR YAKUTAT AK
# USGS        15200280     00060          GULKANA R AT SOURDOUGH AK
# USGS        15241600     00060          NINILCHIK R AT NINILCHIK AK
# USGS        15291000     00060          SUSITNA R NR DENALI AK
# USGS        15291200     00060          MACLAREN R NR PAXSON AK
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	p50_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	15068000	00060	361		3	25	1921	1981	27	36
USGS	15068000	00060	361		3	26	1921	1981	27	45
USGS	15068000	00060	361		3	27	1921	1981	27	44
USGS	15068000	00060	361		3	28	1921	1981	27	39
USGS	15068000	00060	361		3	29	1921	1981	27	41
USGS	15068000	00060	361		3	30	1921	1981	27	39
USGS	15068000	00060	361		3	31	1921	1981	27	38
USGS	15068000	00060	361		4	1	1921	1981	27	32
USGS	15068000	00060	361		4	2	1921	1981	27	30
USGS	15068000	00060	361		4	3	1921	1981	27	28
USGS	15068000	00060	361		4	4	1921	1981	27	29
USGS	15068000	00060	361		4	5	1921	1981	27	31
USGS	15068000	00060	361		4	6	1921	1981	27	30
USGS	15068000	00060	361		4	7	1921	1981	27	36
USGS	15068000	00060	361		4	8	1921	1981	27	34
USGS	15068000	00060	361		4	9	1921	1981	27	31
USGS	15068000	00060	361		4	10	1921	1981	27	33
USGS	15068000	00060	361		4	11	1921	1981	27	31
USGS	15068000	00060	361		4	12	1921	1981	27	45
USGS	15068000	00060	361		4	13	1921	1981	27	50
USGS	15068000	00060	361		4	14	1921	1981	27	53
USGS	15068000	00060	361		4	15	1921	1981	27	52
USGS	15068000	00060	361		4	16	1921	1981	27	50
USGS	15068000	00060	361		4	17	1921	1981	27	53
USGS	15068000	00060	361		4	18	1921	1981	27	45
USGS	15068000	00060	361		4	19	1921	1981	27	45
USGS	15068000	00060	361		4	20	1921	1981	27	44
USGS	15068000	00060	361		4	21	1921	1981	27	50
USGS	15068000	00060	361		4	22	1921	1981	27	53
USGS	15068000	00060	361		4	23	1921	1981	27	55
USGS	15068000	00060	361		4	24	1921	1981	27	55
USGS	15068000	00060	361		4	25	1921	1981	27	61
USGS	15068000	00060	361		4	26	1921	1981	27	79
